,Numb #,KEYWORD,TERM,CATEGORY,MEANING,EXAMPLES IN SENTENCES,NOTES
[R](ca://s?q=R),1502,RIFT,rift,TEEN,conflict,There’s a rift between them.,
[R](ca://s?q=R),1503,RIG,rig,TEEN,body,He’s got a mean rig.,
[R](ca://s?q=R),1504,RING,ring|rang|ringing,TEEN,call,Ring me later.,
[R](ca://s?q=R),1505,RIOT,riot,TEEN,funny,That joke was a riot.,
[R](ca://s?q=R),1506,RIP,rip|ripped|ripping,TEEN,copy,He ripped my idea.,
[R](ca://s?q=R),1507,RIPPED,ripped,TEEN,muscular,He’s ripped.,
[R](ca://s?q=R),1508,RISKY,risky,TEEN,dangerous,That’s risky.,
[R](ca://s?q=R),1509,RIZZ,rizz,TEEN,charisma,He’s got rizz.,
[R](ca://s?q=R),1510,ROADIE,roadie,GENERAL NZ,long drive,We took a roadie.,
[R](ca://s?q=R),1511,ROAST,roast|roasted|roasting,TEEN,insult,He roasted me.,
[R](ca://s?q=R),1512,ROGUE,rogue,TEEN,wild,He’s gone rogue.,
[R](ca://s?q=R),1513,ROLL,roll|rolled|rolling,TEEN,move out,We’re rolling.,
[R](ca://s?q=R),1514,ROLL UP,roll up|rolled up|rolling up,TEEN,arrive,They rolled up late.,
[R](ca://s?q=R),1515,ROMAN,roman,TEEN,straight up,I’m being roman with you.,
[R](ca://s?q=R),1516,ROOMIE,roomie,TEEN,flatmate,My roomie’s chill.,
[R](ca://s?q=R),1517,ROOTED,rooted,GENERAL NZ,broken,My phone’s rooted.,
[R](ca://s?q=R),1518,ROPEY,ropey,GENERAL NZ,dodgy,That plan is ropey.,
[R](ca://s?q=R),1519,ROWDY,rowdy,TEEN,noisy,The class is rowdy.,
[R](ca://s?q=R),1520,RUBBISH,rubbish,GENERAL NZ,bad,That movie was rubbish.,
[R](ca://s?q=R),1521,RUCK,ruck,GENERAL NZ,fight,There was a ruck outside.,
[R](ca://s?q=R),1522,RUDE,rude,TEEN,awesome,That track is rude.,
[R](ca://s?q=R),1523,RUINED,ruined,TEEN,destroyed,He ruined the vibe.,
[R](ca://s?q=R),1524,RUMBLED,rumbled,TEEN,caught,He got rumbled.,
[R](ca://s?q=R),1525,RUN IT,run it,TEEN,start,Run it back.,
[R](ca://s?q=R),1526,RUNNER,runner,TEEN,quick escape,He did a runner.,
[R](ca://s?q=R),1527,RUSHED,rushed,TEEN,too fast,That assignment was rushed.,
[R](ca://s?q=R),1528,RUSTY,rusty,TEEN,out of practice,I’m rusty at maths.,
[R](ca://s?q=R),1529,RUTHLESS,ruthless,TEEN,harsh,That comment was ruthless.,
[S](ca://s?q=S),1530,SABOTAGE,sabotage|sabotaged|sabotaging,TEEN,ruin,He sabotaged the plan.,
[S](ca://s?q=S),1531,SACKED,sacked,GENERAL NZ,fired,He got sacked.,
[S](ca://s?q=S),1532,SADBOI,sadboi,TEEN,emo guy,He’s in his sadboi era.,
[S](ca://s?q=S),1533,SALTY,salty,TEEN,upset,Don’t be salty.,
[S](ca://s?q=S),1534,SASS,sass|sassed|sassing,TEEN,backchat,Don’t sass me.,
[S](ca://s?q=S),1535,SASSY,sassy,TEEN,bold,She’s sassy today.,
[S](ca://s?q=S),1536,SAUCY,saucy,TEEN,cheeky,That was a saucy comment.,
[S](ca://s?q=S),1537,SAVAGE,savage,TEEN,brutal,That comeback was savage.,
[S](ca://s?q=S),1538,SAY LESS,say less,TEEN,I understand,"Say less, I’m in.",
[S](ca://s?q=S),1539,SCAM,scam|scammed|scamming,TEEN,trick,He scammed me.,
[S](ca://s?q=S),1540,SCARCE,scarce,GENERAL NZ,rare,Those shoes are scarce.,
[S](ca://s?q=S),1541,SCARF,scarf|scarfed|scarfing,GENERAL NZ,eat fast,He scarfed it down.,
[S](ca://s?q=S),1542,SCARY HOURS,scary hours,TEEN,intense time,It’s scary hours now.,
[S](ca://s?q=S),1543,SCHOOL IT,school it|schooled|schooling,TEEN,teach,He schooled me.,
[S](ca://s?q=S),1544,SCOOP,scoop,TEEN,gossip,What’s the scoop?,
[S](ca://s?q=S),1545,SCOOT,scoot|scooted|scooting,TEEN,leave,We scooted out.,
[S](ca://s?q=S),1546,SCRAP,scrap|scrapped|scrapping,TEEN,fight,They scrapped after class.,
[S](ca://s?q=S),1547,SCRATCHY,scratchy,GENERAL NZ,irritable,He’s scratchy today.,
[S](ca://s?q=S),1548,SCREAMER,screamer,TEEN,amazing moment,That goal was a screamer.,
[S](ca://s?q=S),1549,SCROLL,scroll|scrolled|scrolling,TEEN,browse,I’m scrolling TikTok.,
[S](ca://s?q=S),1550,SCRUFFY,scruffy,TEEN,untidy,He looks scruffy.,
[S](ca://s?q=S),1551,SCUFFED,scuffed,TEEN,broken,That setup is scuffed.,
[S](ca://s?q=S),1552,SEALED,sealed,TEEN,confirmed,It’s sealed.,
[S](ca://s?q=S),1553,SEETHING,seething,TEEN,furious,She’s seething.,
[S](ca://s?q=S),1554,SEND IT,send it,TEEN,go for it,Just send it!,
[S](ca://s?q=S),1555,SENT,senty,TEEN,emotional,I’m sent after that.,
[S](ca://s?q=S),1556,SERIOUSLY,seriously,TEEN,really,"Seriously, stop.",
[S](ca://s?q=S),1557,SETTLE,settle|settled|settling,TEEN,calm down,"Settle, bro.",
[S](ca://s?q=S),1558,SETTLED,settled,TEEN,decided,It’s settled.,
[S](ca://s?q=S),1559,SETUP,setup,TEEN,arrangement,Nice setup.,
[S](ca://s?q=S),1560,SEXY,sexy,TEEN,cool,That car is sexy.,
[S](ca://s?q=S),1561,SHADE,shade|shaded|shading,TEEN,insult subtly,She threw shade.,
[S](ca://s?q=S),1562,SHADY,shady,TEEN,untrustworthy,That deal is shady.,
[S](ca://s?q=S),1563,SHAMBLES,shambles,TEEN,mess,This class is shambles.,
[S](ca://s?q=S),1564,SHARP,sharp,GENERAL NZ,smart,He’s sharp.,
[S](ca://s?q=S),1565,SHEESH,sheesh,TEEN,surprised,"Sheesh, that’s wild.",
[S](ca://s?q=S),1566,SHELL,shell|shelled|shelling,TEEN,beat badly,We got shelled.,
[S](ca://s?q=S),1567,SHOOK,shook,TEEN,shocked,I’m shook.,
[S](ca://s?q=S),1568,SHOOT,shoot|shot|shooting,TEEN,go ahead,"Shoot, what happened.",
[S](ca://s?q=S),1569,SHOP,shop|shopped|shopping,TEEN,buy,We’re shopping later.,
[S](ca://s?q=S),1570,SHORT,short,TEEN,low on,I’m short on cash.,
[S](ca://s?q=S),1571,SHOW OFF,show off|showed off|showing off,TEEN,brag,He’s showing off.,
[S](ca://s?q=S),1572,SHOWDOWN,showdown,TEEN,big conflict,It’s a showdown.,
[S](ca://s?q=S),1573,SHRED,shred|shredded|shredding,TEEN,play well,He shredded that solo.,
[S](ca://s?q=S),1574,SHROOMS,shrooms,ADULT,magic mushrooms,He took shrooms.,
[S](ca://s?q=S),1575,SHUT UP,shut up|shutting up,TEEN,no way,"Shut up, really!",
[S](ca://s?q=S),1576,SICK,sick,TEEN,awesome,That trick was sick.,
[S](ca://s?q=S),1577,SICKO,sicko,TEEN,weirdo,He’s a sicko.,
[S](ca://s?q=S),1578,SIDELINE,sideline|sidelined|sidelining,TEEN,exclude,He got sidelined.,
[S](ca://s?q=S),1579,SIFT,sift|sifted|sifting,GENERAL NZ,look through,I’m sifting the drawer.,
[S](ca://s?q=S),1580,SIGGY,siggy,GENERAL NZ,cigarette,He’s having a siggy.,
[S](ca://s?q=S),1581,SILLY,silly,TEEN,funny,That was silly.,
[S](ca://s?q=S),1582,SIMMER,simmer|simmered|simmering,TEEN,calm down,Simmer down.,
[S](ca://s?q=S),1583,SIMPING,simp|simped|simping,TEEN,crushing hard,He’s simping again.,
[S](ca://s?q=S),1584,SINK IN,sink in|sank in|sinking in,TEEN,realise,It’s sinking in now.,
[S](ca://s?q=S),1585,SINKED,sinked,TEEN,failed,Bro sinked that test.,
[S](ca://s?q=S),1586,SIPPY,sippy,TEEN,drink,Grab a sippy.,
[S](ca://s?q=S),1587,SIR,sir,TEEN,respectful tease,"Alright sir, calm down.",
[S](ca://s?q=S),1588,SIT OUT,sit out|sat out|sitting out,TEEN,not participate,I’m sitting this one out.,
[S](ca://s?q=S),1589,SITCOM,sitcom,TEEN,funny situation,That was a whole sitcom moment.,
[S](ca://s?q=S),1590,SITTER,sitter,TEEN,easy task,That exam was a sitter.,
[S](ca://s?q=S),1591,SKETCHY,sketchy,TEEN,unsafe,That alley is sketchy.,
[S](ca://s?q=S),1592,SKIDS,skids,GENERAL NZ,underwear,"Change your skids, bro.",
[S](ca://s?q=S),1593,SKINT,skint,TEEN,broke,I’m skint this week.,
[S](ca://s?q=S),1594,SKIP,skip|skipped|skipping,TEEN,miss,I skipped class.,
[S](ca://s?q=S),1595,SKIPPER,skipper,TEEN,leader,He’s the skipper today.,
[S](ca://s?q=S),1596,SKIT,skit,TEEN,funny bit,That was a skit.,
[S](ca://s?q=S),1597,SKITTER,skitter|skittered|skittering,GENERAL NZ,move fast,The cat skittered off.,
[S](ca://s?q=S),1598,SKUX,skux,GENERAL NZ,cool guy,He’s a skux.,
[S](ca://s?q=S),1599,SKUX AS,skux as,GENERAL NZ,very cool,That fit is skux as.,
[S](ca://s?q=S),1600,SLACK,slack,TEEN,lazy,"That’s slack, bro.",
[S](ca://s?q=S),1601,SLAM,slam|slammed|slamming,TEEN,criticise,They slammed the movie.,
[S](ca://s?q=S),1602,SLAPS,slaps,TEEN,very good,This song slaps.,
[S](ca://s?q=S),1603,SLAY,slay|slayed|slaying,TEEN,do amazingly,She slayed that performance.,
[S](ca://s?q=S),1604,SLEPT ON,slept on,TEEN,underrated,That show is slept on.,
[S](ca://s?q=S),1605,SLICK,slick,TEEN,smooth,That move was slick.,
[S](ca://s?q=S),1606,SLIDE,slide|slid|sliding,TEEN,leave,I’m sliding out.,
[S](ca://s?q=S),1607,SLIDING IN,sliding in,TEEN,messaging,He’s sliding in her DMs.,
[S](ca://s?q=S),1608,SLIMY,slimy,TEEN,untrustworthy,He’s slimy as.,
[S](ca://s?q=S),1609,SLIP UP,slip up|slipped up|slipping up,TEEN,make mistake,I slipped up.,
[S](ca://s?q=S),1610,SLOPPY,sloppy,TEEN,messy,That work is sloppy.,
[S](ca://s?q=S),1611,SLOW AS,slow as,TEEN,very slow,The wifi is slow as.,
[S](ca://s?q=S),1612,SLUMP,slump|slumped|slumping,TEEN,drop in mood,I’m in a slump.,
[S](ca://s?q=S),1613,SLURP,slurp|slurped|slurping,TEEN,drink loudly,Stop slurping.,
[S](ca://s?q=S),1614,SMACK,smack|smacked|smacking,TEEN,hit hard,He smacked the ball.,
[S](ca://s?q=S),1615,SMASH,smash|smashed|smashing,TEEN,do well,You smashed it.,
[S](ca://s?q=S),1616,SMASHED,smashed,GENERAL NZ,very drunk,He was smashed.,
[S](ca://s?q=S),1617,SMH,smh,TEEN,shaking my head,Smh at that.,
[S](ca://s?q=S),1618,SMOKO,smoko,GENERAL NZ,break,We’re on smoko.,
[S](ca://s?q=S),1619,SMOOTH,smooth,TEEN,cool,That was smooth.,
[S](ca://s?q=S),1620,SMUG,smug,TEEN,self‑satisfied,Don’t be smug.,
[S](ca://s?q=S),1621,SNACK,snack,TEEN,attractive person,He’s a snack.,
[S](ca://s?q=S),1622,SNAP,snap|snapped|snapping,TEEN,react fast,She snapped back.,
[S](ca://s?q=S),1623,SNAPPED,snapped,TEEN,lost control,He snapped at me.,
[S](ca://s?q=S),1624,SNEAKY,sneaky,TEEN,secretive,That was sneaky.,
[S](ca://s?q=S),1625,SNIPE,snipe|sniped|sniping,TEEN,take shot,He sniped me.,
[S](ca://s?q=S),1626,SNITCH,snitch,TEEN,tell on,Don’t snitch.,
[S](ca://s?q=S),1627,SNOBBY,snobby,TEEN,stuck‑up,She’s snobby.,
[S](ca://s?q=S),1628,SNOOZE,snooze|snoozed|snoozing,TEEN,sleep,I snoozed my alarm.,
[S](ca://s?q=S),1629,SNOOP,snoop|snooped|snooping,TEEN,spy,Stop snooping.,
[S](ca://s?q=S),1630,SNOTTY,snotty,TEEN,rude,Don’t be snotty.,
[S](ca://s?q=S),1631,SNUG,snug,TEEN,comfortable,That hoodie is snug.,
[S](ca://s?q=S),1632,SOFT,soft,TEEN,weak,He’s soft as.,
[S](ca://s?q=S),1633,SOLID,solid,TEEN,reliable,He’s solid.,
[S](ca://s?q=S),1634,SORTED,sorted,GENERAL NZ,fixed,All sorted.,
[S](ca://s?q=S),1635,SOS,sos,TEEN,help,"Sos, I’m stuck.",
[S](ca://s?q=S),1636,SOUND,sound,TEEN,good,That’s sound.,
[S](ca://s?q=S),1637,SPAM,spam|spammed|spamming,TEEN,send repeatedly,Stop spamming me.,
[S](ca://s?q=S),1638,SPARKY,sparky,GENERAL NZ,electrician,Call the sparky.,
[S](ca://s?q=S),1639,SPAZ,spaz,TEEN,overreact,Don’t spaz out.,
[S](ca://s?q=S),1640,SPEAR,spear|speared|spearing,TEEN,ditch,He speared off.,
[S](ca://s?q=S),1641,SPECCY,speccy,TEEN,amazing,That was speccy.,
[S](ca://s?q=S),1642,SPEEDY,speedy,TEEN,fast,You’re speedy today.,
[S](ca://s?q=S),1643,SPICEY,spicey,TEEN,bold,That comment was spicey.,
[S](ca://s?q=S),1644,SPILL,spill|spilled|spilling,TEEN,reveal,Spill the tea.,
[S](ca://s?q=S),1645,SPINELESS,spineless,TEEN,weak,Don’t be spineless.,
[S](ca://s?q=S),1646,SPIT,spit|spat|spitting,TEEN,say,Spit your bars.,
[S](ca://s?q=S),1647,SPITTING,spitting,TEEN,rap well,He’s spitting fire.,
[S](ca://s?q=S),1648,SPLIT,split|split|splitting,TEEN,leave,We split early.,
[S](ca://s?q=S),1649,SPOOKY,spooky,TEEN,weird,That’s spooky.,
[S](ca://s?q=S),1650,SPOT ON,spot on,TEEN,exact,That’s spot on.,
[S](ca://s?q=S),1651,SPRAY,spray|sprayed|spraying,TEEN,insult,He sprayed me.,
[S](ca://s?q=S),1652,SPRINT,sprint|sprinted|sprinting,TEEN,run fast,Sprint to class.,
[S](ca://s?q=S),1653,SPUN,spun,TEEN,confused,I’m spun out.,
[S](ca://s?q=S),1654,SQUAD,squad,TEEN,friend group,Where’s the squad?,
[S](ca://s?q=S),1655,SQUARED UP,squared up,TEEN,ready to fight,He squared up.,
[S](ca://s?q=S),1656,SQUEAKY,squeaky,TEEN,high‑pitched,Her voice is squeaky.,
[S](ca://s?q=S),1657,SQUIRM,squirm|squirmed|squirming,TEEN,feel awkward,I’m squirming.,
[S](ca://s?q=S),1658,STABBY,stabby,TEEN,irritable,I’m feeling stabby.,
[S](ca://s?q=S),1659,STACK,stack|stacked|stacking,TEEN,fall,He stacked it.,
[S](ca://s?q=S),1660,STACKED,stacked,TEEN,muscular,He’s stacked.,
[S](ca://s?q=S),1661,STAGGERED,staggered,TEEN,shocked,I’m staggered.,
[S](ca://s?q=S),1662,STALL,stall|stalled|stalling,TEEN,delay,Stop stalling.,
[S](ca://s?q=S),1663,STAND DOWN,stand down|stood down|standing down,TEEN,back off,"Stand down, bro.",
[S](ca://s?q=S),1664,STANDOUT,standout,TEEN,exceptional,She’s a standout.,
[S](ca://s?q=S),1665,STANK,stank,TEEN,smelly,"That stank, bro.",
[S](ca://s?q=S),1666,STARSTRUCK,starstruck,TEEN,amazed,I’m starstruck.,
[S](ca://s?q=S),1667,STARTER,starter,TEEN,beginner,He’s a starter.,
[S](ca://s?q=S),1668,STASH,stash|stashed|stashing,TEEN,hide,He stashed it.,
[S](ca://s?q=S),1669,STAT,stat,TEEN,immediately,Do it stat.,
[S](ca://s?q=S),1670,STEADY,steady,TEEN,calm,Stay steady.,
[S](ca://s?q=S),1671,STEAMED,steamed,GENERAL NZ,angry,He’s steamed.,
[S](ca://s?q=S),1672,STEAMY,steamy,TEEN,intense,That scene was steamy.,
[S](ca://s?q=S),1673,STEEP,steep,TEEN,expensive,That price is steep.,
[S](ca://s?q=S),1674,STEWING,stewing,TEEN,thinking hard,I’m stewing on it.,
,,STD,S.T.D,GENERAL NZ,sexual transmitted disease,They didn't use condoms so they got a nasty STD.,
[S](ca://s?q=S),1675,STICKY,sticky,TEEN,awkward,That’s sticky.,
[S](ca://s?q=S),1676,STIFF,stiff,TEEN,harsh,"That’s stiff, bro.",
[S](ca://s?q=S),1677,STINK,stink,GENERAL NZ,unfair,That’s stink as.,
[S](ca://s?q=S),1678,STOKED,stoked,GENERAL NZ,excited,I’m stoked.,
[S](ca://s?q=S),1679,STONKER,stonker,GENERAL NZ,big thing,That was a stonker.,
[S](ca://s?q=S),1680,STORM OFF,storm off|stormed off|storming off,TEEN,leave angrily,She stormed off.,
[S](ca://s?q=S),1681,STRAIGHT UP,straight up,TEEN,honestly,"Straight up, that’s true.",
[S](ca://s?q=S),1682,STRAPPED,strapped,TEEN,broke,I’m strapped for cash.,
[S](ca://s?q=S),1683,STRESSY,stressy,TEEN,stressed,I’m stressy today.,
[S](ca://s?q=S),1684,STRICT,strict,TEEN,serious,He’s strict today.,
[S](ca://s?q=S),1685,STRUGGLE,struggle|struggled|struggling,TEEN,have difficulty,I’m struggling.,
[S](ca://s?q=S),1686,STUCK,stuck,TEEN,unable to move,I’m stuck here.,
[S](ca://s?q=S),1687,STUNNED,stunned,TEEN,shocked,I’m stunned.,
[S](ca://s?q=S),1688,STUNNER,stunner,TEEN,attractive person,She’s a stunner.,
[S](ca://s?q=S),1689,STUNT,stunt|stunted|stunting,TEEN,show off,He’s stunting.,
[S](ca://s?q=S),1690,SUB,sub|subbed|subbing,TEEN,subscribe,Sub to my channel.,
[S](ca://s?q=S),1691,SUBTLE,subtle,TEEN,low‑key,That was subtle.,
[S](ca://s?q=S),1692,SUCK,suck|sucked|sucking,TEEN,be bad,That sucked.,
[S](ca://s?q=S),1693,SUCKED IN,sucked in,GENERAL NZ,serves you right,"Sucked in, bro.",
[S](ca://s?q=S),1694,SUCKY,sucky,TEEN,bad,That’s sucky.,
[S](ca://s?q=S),1695,SUDSY,sudsy,TEEN,dramatic,That show is sudsy.,
[S](ca://s?q=S),1696,SUIT UP,suit up|suited up|suiting up,TEEN,get ready,"Suit up, team.",
[S](ca://s?q=S),1697,SUNK,sunk,TEEN,defeated,We’re sunk.,
[S](ca://s?q=S),1698,SUNNY,sunny,TEEN,positive,Stay sunny.,
[S](ca://s?q=S),1699,SUPERB,superb,TEEN,excellent,That was superb.,
[S](ca://s?q=S),1700,SUPREME,supreme,TEEN,top‑tier,That’s supreme.,
[S](ca://s?q=S),1701,SURGE,surge|surged|surging,TEEN,increase,Views are surging.,
[S](ca://s?q=S),1702,SURPRISE,surprise|surprised|surprising,TEEN,shock,"Surprise, bro.",
[S](ca://s?q=S),1703,SUSS,suss|sussed|sussing,GENERAL NZ,figure out,I’ll suss it.,
[S](ca://s?q=S),1704,SUSSY,sussy,TEEN,suspicious,That’s sussy.,
[S](ca://s?q=S),1705,SWAG,swag,TEEN,style,He’s got swag.,
[S](ca://s?q=S),1706,SWAGGY,swaggy,TEEN,stylish,That outfit is swaggy.,
[S](ca://s?q=S),1707,SWAP,swap|swapped|swapping,TEEN,exchange,Let’s swap seats.,
[S](ca://s?q=S),1708,SWAY,sway|swayed|swaying,TEEN,influence,He swayed me.,
[S](ca://s?q=S),1709,SWERVE,swerve|swerved|swerving,TEEN,avoid,I swerved that drama.,
[S](ca://s?q=S),1710,SWOLE,swole,TEEN,muscular,He’s swole.,
[S](ca://s?q=S),1711,SWOOP,swoop|swooped|swooping,TEEN,grab quickly,He swooped in.,
[S](ca://s?q=S),1712,SWOOPY,swoopy,TEEN,dramatic,That haircut is swoopy.,
[S](ca://s?q=S),1713,SWORN IN,sworn in,TEEN,accepted,He’s sworn in.,
[S](ca://s?q=S),1714,SYMPATH,sympath,TEEN,feel sorry,I sympath with that.,
[S](ca://s?q=S),1715,SYNC,sync|synced|syncing,TEEN,match up,Let’s sync up.,
[S](ca://s?q=S),1716,SYNERGY,synergy,TEEN,good combo,We’ve got synergy.,
[S](ca://s?q=S),1717,SYRUP,syrup,TEEN,slow,That wifi is syrup.,
[T](ca://s?q=T),1718,TAB,tab,GENERAL NZ,bill,Put it on my tab.,
[T](ca://s?q=T),1719,TACKY,tacky,TEEN,cheap,That outfit is tacky.,
[T](ca://s?q=T),1720,TACTIC,tactic,TEEN,strategy,"Good tactic, bro.",
[T](ca://s?q=T),1721,TAG,tag|tagged|tagging,TEEN,mention,Tag me in it.,
[T](ca://s?q=T),1722,TAG OUT,tag out|tagged out|tagging out,TEEN,swap,"Tag out, I’m in.",
[T](ca://s?q=T),1723,TAKE L,take l|took l|taking l,TEEN,lose,We took an L.,
[T](ca://s?q=T),1724,TAKEOFF,takeoff,TEEN,impressive,That was a takeoff moment.,
[T](ca://s?q=T),1725,TALENTED,talented,TEEN,skilled,She’s talented.,
[T](ca://s?q=T),1726,TAME,tame,TEEN,boring,That party was tame.,
[T](ca://s?q=T),1727,TANGI,tangi,MAORI GENERAL,funeral,We’re going to a tangi.,
[T](ca://s?q=T),1728,TANK,tank|tanked|tanking,TEEN,fail badly,He tanked the test.,
[T](ca://s?q=T),1729,TAPPED,tapped,TEEN,crazy,He’s tapped.,
[T](ca://s?q=T),1730,TARANAKI HARD,taranaki hard,GENERAL NZ,loyal,We’re Taranaki hard.,
[T](ca://s?q=T),1731,TASTY,tasty,TEEN,cool,That move was tasty.,
[T](ca://s?q=T),1732,TAUNT,taunt|taunted|taunting,TEEN,mock,He taunted me.,
[T](ca://s?q=T),1733,TEA,tea,TEEN,gossip,Spill the tea.,
[T](ca://s?q=T),1734,TEAR UP,tear up|tore up|tearing up,TEEN,get emotional,I’m tearing up.,
[T](ca://s?q=T),1735,TECHY,techy,TEEN,annoyed,He’s techy today.,
[T](ca://s?q=T),1736,TEDDY,ted,TEEN,soft person,He’s a teddy.,
[T](ca://s?q=T),1737,TEENY,teeny,TEEN,small,That’s teeny tiny.,
[T](ca://s?q=T),1738,TEETER,teeter|teetered|teetering,TEEN,almost fall,He teetered over.,
[T](ca://s?q=T),1739,TEKAPO,tekapo,GENERAL NZ,beautiful,That view is Tekapo.,
[T](ca://s?q=T),1740,TELLY,telly,GENERAL NZ,TV,Turn on the telly.,
[T](ca://s?q=T),1741,TEMPO,tempo,TEEN,pace,Keep the tempo.,
[T](ca://s?q=T),1742,TENSE,tense,TEEN,stressed,I’m tense today.,
[T](ca://s?q=T),1743,TENT,tented,TEEN,excited,The crowd was tented.,
[T](ca://s?q=T),1744,TEPID,tepid,TEEN,weak,That attempt was tepid.,
[T](ca://s?q=T),1745,TERF,terf,TEEN,exclusionary person,She’s a terf.,
[T](ca://s?q=T),1746,TESTY,testy,TEEN,irritable,He’s testy today.,
[T](ca://s?q=T),1747,TETCHY,tetchy,TEEN,grumpy,She’s tetchy.,
[T](ca://s?q=T),1748,THIRSTY,thirsty,TEEN,desperate,He’s thirsty for attention.,
[T](ca://s?q=T),1749,THOROUGH,thorough,TEEN,complete,Be thorough.,
[T](ca://s?q=T),1750,THRASH,thrash|thrashed|thrashing,TEEN,beat,We thrashed them.,
[T](ca://s?q=T),1751,THRIVE,thrive|thrived|thriving,TEEN,do well,She’s thriving.,
[T](ca://s?q=T),1752,THROW,throw|threw|throwing,TEEN,mess up,He threw the game.,
[T](ca://s?q=T),1753,THROWING SHADE,throwing shade,TEEN,insult subtly,She’s throwing shade.,
[T](ca://s?q=T),1754,THUMP,thump|thumped|thumping,TEEN,hit,He thumped him.,DICT
[T](ca://s?q=T),1755,TIDY,tidy,GENERAL NZ,good,That’s tidy.,????
[T](ca://s?q=T),1756,TIGHT,tight,TEEN,close,We’re tight and good friends.,
[T](ca://s?q=T),1757,TIKI TOUR,tiki tour,GENERAL NZ,scenic trip,We took a tiki tour around the Waikato today.,
[T](ca://s?q=T),1758,TILTED,tilted,TEEN,angry,I’m tilted as he forgot to bring the stuff.,???
[T](ca://s?q=T),1759,TIMID,timid,TEEN,shy,He’s timid.,DICT
[T](ca://s?q=T),1760,TING,ting,TEEN,crush,She’s my ting.,???
[T](ca://s?q=T),1761,TINNY,tinny,GENERAL NZ,unlucky,That’s tinny.,
[T](ca://s?q=T),1762,TIPSY,tipsy,GENERAL NZ,slightly drunk,I’m tipsy.,
[T](ca://s?q=T),1763,TITCHY,titchy,TEEN,small,That’s titchy.,???
[T](ca://s?q=T),1764,TIZZY,tizzy,TEEN,panic,She’s in a tizzy as her hair is wet and the wedding in in 10 minutes.,
[T](ca://s?q=T),1765,TOAST,toast | toasted,TEEN,wrecked,You are toast without a driving license if you want a delivery job.,
[T](ca://s?q=T),1766,TOEY,toey,GENERAL NZ,antsy,He’s toey and won't do anything we ask.,
[T](ca://s?q=T),1767,TOILET,toilet,GENERAL NZ,bad,That idea is toilet.,?????
[T](ca://s?q=T),1768,TOKEN,token,TEEN,symbolic,That’s just token.,DICT
[T](ca://s?q=T),1769,TOLERATE,tolerate|tolerated|tolerating,TEEN,put up with,I can’t tolerate that.,DICT
[T](ca://s?q=T),1770,TONGUEY,tonguey,TEEN,awkward,That convo was tonguey.,??????????
[T](ca://s?q=T),1771,TOOT,toot|tooted|tooting,GENERAL NZ,honk,Give us a toot when you get to our house and I will come out.,
[T](ca://s?q=T),1772,TOP TIER,top tier,TEEN,excellent,That’s top tier.,DICT
[T](ca://s?q=T),1773,TOPSY,topsy turvey,GENERAL NZ,chaotic,"Everything’s topsy turvey since we moved in. Can't find anything,",
[T](ca://s?q=T),1774,TORCH,torch|torched|torching,TEEN,destroy,He torched the level.,???
[T](ca://s?q=T),1775,TOSS,toss|tossed|tossing,TEEN,throw,Toss it here.,DICT
[T](ca://s?q=T),1776,TOUCHY,touchy,TEEN,sensitive,He’s touchy today. Take no notice of his zits!,
[T](ca://s?q=T),1777,TOXIC,toxic,TEEN,harmful,That’s toxic behaviour.,DICT
[T](ca://s?q=T),1778,TRACE,trace|traced|tracing,TEEN,find,Trace the source.,DICT
[T](ca://s?q=T),1779,TRACK,track|tracked|tracking,TEEN,follow,I’m tracking him.,DICT
[T](ca://s?q=T),1780,TRADE,trade|traded|trading,TEEN,swap,Trade seats?,DICT
[T](ca://s?q=T),1781,TRAGIC,tragic,TEEN,terrible,That outfit is tragic. Never wear it again!,
[T](ca://s?q=T),1782,TRASH,trash|trashed|trashing,GENERAL NZ,criticise,They trashed the idea as it was too expensive.,
[T](ca://s?q=T),1783,TRASHED,trashed,GENERAL NZ,very drunk,He was trashed before the party so was locked out!,
[T](ca://s?q=T),1784,TRAY,tray,TEEN,food portion,Grab a tray.,DICT
[T](ca://s?q=T),1785,TREND,trend|trended|trending,TEEN,be popular,It’s trending now.,DICT
[T](ca://s?q=T),1786,TRENDY,trendy,TEEN,stylish,That outfit is trendy.,DICT
[T](ca://s?q=T),1787,TRICKY,tricky,TEEN,difficult,That question was tricky.,DICT
[T](ca://s?q=T),1788,TRIGGERED,triggered,TEEN,upset,He was triggered by the smell of beer and wants to get drunk.,
[T](ca://s?q=T),1789,TRILL,trill,TEEN,real,He’s trill.,????
[T](ca://s?q=T),1790,TRIP,trip|tripped|tripping,TEEN,overreact,He’s tripping hard.,???
[T](ca://s?q=T),1791,TRIPPY,trippy,TEEN,weird,That video is trippy fantasy.,
[T](ca://s?q=T),1792,TRUCE,truce,TEEN,peace,Call a truce.,DICT
[T](ca://s?q=T),1793,TRUSTY,trusty,TEEN,reliable,My trusty bag.,DICT
[T](ca://s?q=T),1794,TUCKED,tucked,TEEN,hidden,It’s tucked away in a secret place at home.,
[T](ca://s?q=T),1795,TUCKER,tucker,GENERAL NZ,food,Grab some tucker for lunch to eat later.,
[T](ca://s?q=T),1796,TUCK IN,tuck in|tucked in|tucking in,GENERAL NZ,eat,"Tuck in, team there is enough food for us all.",
